"id","priority","description","source","status","implementation","tests","evidence","release_gate"
"SEC-007","MUST","supply-chain and artifact security gates run in CI.","docs/07_SECURITY_PRIVACY_OPERATIONS.md:447","complete","plugin/starfiniti-search/src;SECURITY.md","tests/php/unit;tests/php/integration;tools/verify-release.mjs","docs/THREAT_MODEL.md;docs/QUALIFICATION_EVIDENCE.md","Gate 7"
"SEC-008","MUST","public and admin output is contextually escaped.","docs/07_SECURITY_PRIVACY_OPERATIONS.md:448","complete","plugin/starfiniti-search/src;SECURITY.md","tests/php/unit;tests/php/integration;tools/verify-release.mjs","docs/THREAT_MODEL.md;docs/QUALIFICATION_EVIDENCE.md","Gate 7"
"SEC-009","MUST","cache tests prove no cross-scope leakage.","docs/07_SECURITY_PRIVACY_OPERATIONS.md:449","not_applicable_disabled","plugin/starfiniti-search/src;SECURITY.md","tests/php/unit;tests/php/integration;tools/verify-release.mjs","docs/THREAT_MODEL.md;docs/QUALIFICATION_EVIDENCE.md","Gate 7"
"SEC-010","MUST","vulnerability reporting and patch policy exist.","docs/07_SECURITY_PRIVACY_OPERATIONS.md:450","complete","plugin/starfiniti-search/src;SECURITY.md","tests/php/unit;tests/php/integration;tools/verify-release.mjs","docs/THREAT_MODEL.md;docs/QUALIFICATION_EVIDENCE.md","Gate 7"
"PRI-001","MUST","catalog indexes contain no customer or order PII.","docs/07_SECURITY_PRIVACY_OPERATIONS.md:451","complete","plugin/starfiniti-search/src/Infrastructure/WordPress/Analytics;plugin/starfiniti-search/uninstall.php","tests/php/unit;tests/php/integration/analytics-failure-isolation.php","docs/ANALYTICS.md;docs/QUALIFICATION_EVIDENCE.md","Gate 7"
"PRI-002","MUST","raw queries are treated as potentially sensitive.","docs/07_SECURITY_PRIVACY_OPERATIONS.md:452","complete","plugin/starfiniti-search/src/Infrastructure/WordPress/Analytics;plugin/starfiniti-search/uninstall.php","tests/php/unit;tests/php/integration/analytics-failure-isolation.php","docs/ANALYTICS.md;docs/QUALIFICATION_EVIDENCE.md","Gate 7"
"PRI-003","MUST","analytics retention, purge, exporter, and eraser behavior are implemented.","docs/07_SECURITY_PRIVACY_OPERATIONS.md:453","complete","plugin/starfiniti-search/src/Infrastructure/WordPress/Analytics;plugin/starfiniti-search/uninstall.php","tests/php/unit;tests/php/integration/analytics-failure-isolation.php","docs/ANALYTICS.md;docs/QUALIFICATION_EVIDENCE.md","Gate 7"
"PRI-004","MUST","no external telemetry occurs without explicit opt-in.","docs/07_SECURITY_PRIVACY_OPERATIONS.md:454","complete","plugin/starfiniti-search/src/Infrastructure/WordPress/Analytics;plugin/starfiniti-search/uninstall.php","tests/php/unit;tests/php/integration/analytics-failure-isolation.php","docs/ANALYTICS.md;docs/QUALIFICATION_EVIDENCE.md","Gate 7"
"OPS-001","MUST","structured redacted logs and correlation IDs exist.","docs/07_SECURITY_PRIVACY_OPERATIONS.md:455","complete","plugin/starfiniti-search/src/Infrastructure/WordPress/Operations;tools","tests/php/integration;tools/test-disaster-recovery.ps1","docs/OPERATIONS.md;docs/QUALIFICATION_EVIDENCE.md","Gate 7"
"OPS-002","MUST","liveness, readiness, and deep health are distinct.","docs/07_SECURITY_PRIVACY_OPERATIONS.md:456","complete","plugin/starfiniti-search/src/Infrastructure/WordPress/Operations;tools","tests/php/integration;tools/test-disaster-recovery.ps1","docs/OPERATIONS.md;docs/QUALIFICATION_EVIDENCE.md","Gate 7"
"OPS-003","MUST","queue, drift, index, provider, and latency metrics are available.","docs/07_SECURITY_PRIVACY_OPERATIONS.md:457","complete","plugin/starfiniti-search/src/Infrastructure/WordPress/Operations;tools","tests/php/integration;tools/test-disaster-recovery.ps1","docs/OPERATIONS.md;docs/QUALIFICATION_EVIDENCE.md","Gate 7"
"OPS-004","MUST","backup, rollback, and disaster recovery are documented and tested.","docs/07_SECURITY_PRIVACY_OPERATIONS.md:458","complete","plugin/starfiniti-search/src/Infrastructure/WordPress/Operations;tools","tests/php/integration;tools/test-disaster-recovery.ps1","docs/OPERATIONS.md;docs/QUALIFICATION_EVIDENCE.md","Gate 7"
"OPS-005","MUST","maintenance tasks are bounded and do not replace the active verified index prematurely.","docs/07_SECURITY_PRIVACY_OPERATIONS.md:459","complete","plugin/starfiniti-search/src/Infrastructure/WordPress/Operations;tools","tests/php/integration;tools/test-disaster-recovery.ps1","docs/OPERATIONS.md;docs/QUALIFICATION_EVIDENCE.md","Gate 7"
"MCP-001","MUST","MCP is outside the storefront query dependency chain.","docs/08_MCP_CONTROL_PLANE.md:434","complete","plugin/starfiniti-search/src/Domain/Operations;plugin/starfiniti-search/src/Infrastructure/WordPress/Rest","tests/php/integration/control-rest.php;tests/php/integration/operation-lifecycle.php","docs/CONTROL_API.md;docs/QUALIFICATION_EVIDENCE.md","Gate 8"
"MCP-002","MUST","tools call deterministic versioned control APIs.","docs/08_MCP_CONTROL_PLANE.md:435","complete","apps/search-ops-mcp/src;plugin/starfiniti-search/src/Infrastructure/WordPress/Rest","apps/search-ops-mcp/test/server.test.ts;tools/test-mcp-live.ps1;tests/php/integration/control-rest.php","apps/search-ops-mcp/README.md;docs/CONTROL_API.md;docs/QUALIFICATION_EVIDENCE.md","Gate 8"
"MCP-003","MUST","remote production auth uses the current secure MCP authorization model with least privilege.","docs/08_MCP_CONTROL_PLANE.md:436","in_progress","apps/search-ops-mcp/src/http.ts;apps/search-ops-mcp/src/remote.ts;apps/search-ops-mcp/src/security.ts;plugin/starfiniti-search/src/Infrastructure/WordPress/Rest","apps/search-ops-mcp/test/remote.test.ts;apps/search-ops-mcp/test/server.test.ts;tests/php/integration/control-rest.php","apps/search-ops-mcp/README.md;docs/CONTROL_API.md;docs/QUALIFICATION_EVIDENCE.md","Gate 8"
"MCP-004","MUST","resources and tools enforce tenant, site, and scope isolation.","docs/08_MCP_CONTROL_PLANE.md:437","complete","apps/search-ops-mcp/src;plugin/starfiniti-search/src/Infrastructure/WordPress/Rest","apps/search-ops-mcp/test/server.test.ts;tools/test-mcp-live.ps1","apps/search-ops-mcp/README.md;docs/CONTROL_API.md;docs/QUALIFICATION_EVIDENCE.md","Gate 8"
"MCP-005","MUST","no generic HTTP, SQL, shell, or raw provider tool exists.","docs/08_MCP_CONTROL_PLANE.md:438","complete","plugin/starfiniti-search/src/Domain/Operations;plugin/starfiniti-search/src/Infrastructure/WordPress/Rest","tests/php/integration/control-rest.php;tests/php/integration/operation-lifecycle.php","docs/CONTROL_API.md;docs/QUALIFICATION_EVIDENCE.md","Gate 8"
"MCP-006","MUST","all high-impact writes use immutable plans, dry-run, preconditions, and human approval.","docs/08_MCP_CONTROL_PLANE.md:439","complete","plugin/starfiniti-search/src/Domain/Operations;plugin/starfiniti-search/src/Infrastructure/WordPress/Rest","tests/php/integration/control-rest.php;tests/php/integration/operation-lifecycle.php","docs/CONTROL_API.md;docs/QUALIFICATION_EVIDENCE.md","Gate 8"
"MCP-007","MUST","operations are idempotent and resumable through operation IDs.","docs/08_MCP_CONTROL_PLANE.md:440","complete","plugin/starfiniti-search/src/Domain/Operations;plugin/starfiniti-search/src/Infrastructure/WordPress/Rest","tests/php/integration/control-rest.php;tests/php/integration/operation-lifecycle.php","docs/CONTROL_API.md;docs/QUALIFICATION_EVIDENCE.md","Gate 8"
"MCP-008","MUST","secrets never enter model-visible content.","docs/08_MCP_CONTROL_PLANE.md:441","complete","plugin/starfiniti-search/src/Domain/Operations;plugin/starfiniti-search/src/Infrastructure/WordPress/Rest","tests/php/integration/control-rest.php;tests/php/integration/operation-lifecycle.php","docs/CONTROL_API.md;docs/QUALIFICATION_EVIDENCE.md","Gate 8"
"MCP-009","MUST","catalog data is treated as untrusted data against prompt injection.","docs/08_MCP_CONTROL_PLANE.md:442","complete","apps/search-ops-mcp/src/untrusted.ts;apps/search-ops-mcp/src/server.ts","apps/search-ops-mcp/test/server.test.ts","apps/search-ops-mcp/README.md;docs/CONTROL_API.md;docs/QUALIFICATION_EVIDENCE.md","Gate 8"
"MCP-010","MUST","MCP audit records identify caller, tool, operation, approval, and result safely.","docs/08_MCP_CONTROL_PLANE.md:443","complete","apps/search-ops-mcp/src/audit.ts;apps/search-ops-mcp/src/server.ts","apps/search-ops-mcp/test/server.test.ts;tools/test-mcp-live.ps1","apps/search-ops-mcp/README.md;docs/CONTROL_API.md;docs/QUALIFICATION_EVIDENCE.md","Gate 8"
"CON-001","MUST","all production providers implement the same versioned contracts.","docs/09_PROVIDER_CONFORMANCE.md:308","complete","plugin/starfiniti-search/src/Domain/Search;plugin/starfiniti-search/src/Infrastructure","tests/php/unit;tests/php/integration;tools/validate-contracts.mjs","docs/QUALIFICATION_EVIDENCE.md","Gate 9"
"CON-002","MUST","every declared capability maps to tests.","docs/09_PROVIDER_CONFORMANCE.md:309","complete","plugin/starfiniti-search/src/Domain/Search;plugin/starfiniti-search/src/Infrastructure","tests/php/unit;tests/php/integration;tools/validate-contracts.mjs","docs/QUALIFICATION_EVIDENCE.md","Gate 9"
"CON-003","MUST","visibility and scope invariants pass for every provider.","docs/09_PROVIDER_CONFORMANCE.md:310","complete","plugin/starfiniti-search/src/Domain/Search;plugin/starfiniti-search/src/Infrastructure","tests/php/unit;tests/php/integration;tools/validate-contracts.mjs","docs/QUALIFICATION_EVIDENCE.md","Gate 9"
"CON-004","MUST","lifecycle includes verified activation and rollback.","docs/09_PROVIDER_CONFORMANCE.md:311","complete","plugin/starfiniti-search/src/Domain/Search;plugin/starfiniti-search/src/Infrastructure","tests/php/unit;tests/php/integration;tools/validate-contracts.mjs","docs/QUALIFICATION_EVIDENCE.md","Gate 9"
"CON-005","MUST","partial writes are represented per document.","docs/09_PROVIDER_CONFORMANCE.md:312","complete","plugin/starfiniti-search/src/Domain/Search;plugin/starfiniti-search/src/Infrastructure","tests/php/unit;tests/php/integration;tools/validate-contracts.mjs","docs/QUALIFICATION_EVIDENCE.md","Gate 9"
"CON-006","MUST","provider-specific tests supplement common tests.","docs/09_PROVIDER_CONFORMANCE.md:313","complete","plugin/starfiniti-search/src/Domain/Search;plugin/starfiniti-search/src/Infrastructure","tests/php/unit;tests/php/integration;tools/validate-contracts.mjs","docs/QUALIFICATION_EVIDENCE.md","Gate 9"
"CON-007","MUST","relevance and performance results are reproducible.","docs/09_PROVIDER_CONFORMANCE.md:314","complete","plugin/starfiniti-search/src/Domain/Search;plugin/starfiniti-search/src/Infrastructure","tests/php/unit;tests/php/integration;tools/validate-contracts.mjs","docs/QUALIFICATION_EVIDENCE.md","Gate 9"
"CON-008","MUST","provider certification names exact tested versions and environments.","docs/09_PROVIDER_CONFORMANCE.md:315","complete","plugin/starfiniti-search/src/Domain/Search;plugin/starfiniti-search/src/Infrastructure","tests/php/unit;tests/php/integration;tools/validate-contracts.mjs","docs/QUALIFICATION_EVIDENCE.md","Gate 9"
"CON-009","MUST","a future provider can be added without modifying storefront or domain code.","docs/09_PROVIDER_CONFORMANCE.md:316","complete","plugin/starfiniti-search/src/Domain/Search;plugin/starfiniti-search/src/Infrastructure","tests/php/unit;tests/php/integration;tools/validate-contracts.mjs","docs/QUALIFICATION_EVIDENCE.md","Gate 9"
"PER-001","MUST","relevance metrics meet or exceed approved budgets.","docs/10_TESTING_PERFORMANCE_RELEASE.md:611","blocked_license","plugin/starfiniti-search/src;tools/benchmark-local.ps1;tools/benchmark-http.ps1","tools/benchmark-local.ps1;tools/benchmark-http.ps1","docs/LOCAL_RELEVANCE.md;docs/QUALIFICATION_EVIDENCE.md","Gate 9"
"PER-002","MUST","provider and UI performance meet documented budgets.","docs/10_TESTING_PERFORMANCE_RELEASE.md:612","in_progress","plugin/starfiniti-search/src;tools/benchmark-local.ps1;tools/benchmark-http.ps1","tools/benchmark-local.ps1;tools/benchmark-http.ps1","docs/LOCAL_RELEVANCE.md;docs/QUALIFICATION_EVIDENCE.md","Gate 9"
"REL-001","MUST","all release gates pass without mandatory waiver.","docs/10_TESTING_PERFORMANCE_RELEASE.md:613","blocked_license","plugin/starfiniti-search;tools/package-plugin.ps1;tools/qualify-artifact.ps1","pnpm test:all;pnpm qualify:artifact","docs/QUALIFICATION_EVIDENCE.md;dist/release-manifest.json","Gate 10"
"REL-002","MUST","packaged artifact is installed and tested, not only source checkout.","docs/10_TESTING_PERFORMANCE_RELEASE.md:614","complete","plugin/starfiniti-search;tools/package-plugin.ps1;tools/qualify-artifact.ps1","pnpm test:all;pnpm qualify:artifact","docs/QUALIFICATION_EVIDENCE.md;dist/release-manifest.json","Gate 10"
